StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,1_1,1_2,1_3,1_8,1_9,2_1,2_2,2_3,2_8,2_9,LoginID,Q_Language,GA,FB,NOS,GAUse,FBUse,NOSUse
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,What are the most important issues in the Netherlands today? (Please list the top 5 most important issues) - First issue,What are the most important issues in the Netherlands today? (Please list the top 5 most important issues) - Second issue,What are the most important issues in the Netherlands today? (Please list the top 5 most important issues) - Third issue,What are the most important issues in the Netherlands today? (Please list the top 5 most important issues) - Forth issue,What are the most important issues in the Netherlands today? (Please list the top 5 most important issues) - Fifth issue,What are the most important issues in the news today? (Please list the top 5 most important issues) - First issue,What are the most important issues in the news today? (Please list the top 5 most important issues) - Second issue,What are the most important issues in the news today? (Please list the top 5 most important issues) - Third issue,What are the most important issues in the news today? (Please list the top 5 most important issues) - Forth issue,What are the most important issues in the news today? (Please list the top 5 most important issues) - Fifth issue,LoginID,Q_Language,GA,FB,NOS,GAUse,FBUse,NOSUse
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_8""}","{""ImportId"":""QID38_9""}","{""ImportId"":""LoginID""}","{""ImportId"":""Q_Language""}","{""ImportId"":""GA""}","{""ImportId"":""FB""}","{""ImportId"":""NOS""}","{""ImportId"":""GAUse""}","{""ImportId"":""FBUse""}","{""ImportId"":""NOSUse""}"
2021-09-20 01:32:23,2021-09-20 01:41:48,IP Address,100,565,True,2021-09-20 01:41:49,R_1LSh4fYxpU6cRFA,anonymous,EN,1,Public Transport Problems,Global Warming,Vacine,Corona related issues,Opening Clubs,Afghanistan,Corona Vacine,Global Warming,Wild fires,MET gala,2229,EN,,,,,,
2021-09-20 02:04:39,2021-09-20 02:06:23,IP Address,100,103,True,2021-09-20 02:06:23,R_1Dp1SVptK0PAhds,anonymous,NL,0.89999997615814208984375,Russischr verkiezingen,Poetin meerderheid,Vulkaanuitbarsting la palma,Gevonden lichaam usa,Formatieweekend mislukt,Formatieweekend mislukt,Russchische verkiezingen,Poetin meerderheid,Vulkaanuitbarsting,Niet hele klas thuis bij corona besmetting,1902,NL,,,,,,
2021-09-20 02:24:34,2021-09-20 02:29:27,IP Address,100,292,True,2021-09-20 02:29:27,R_56CRJwI5T2y4aSR,anonymous,NL,1,kabinet formatie,corona protesten,economische crisis door corona,-,-,steekincident in de trein,goud ek honkbal,noorden randstad hardst getroffen door corona crisis op economisch gebied,vulkaan uitbarsting canarische eiland,duizenden kilo's zwerfaval opgeruimd,3813,NL,,,,,,
2021-09-20 02:58:43,2021-09-20 03:01:16,IP Address,100,153,True,2021-09-20 03:01:16,R_YYPS5IvBMd3kw6d,anonymous,NL,0.89999997615814208984375,Corona,Klimaat,Europa,Tweede kamer,Koningshuis,Schietpartij rusland,Vulkaan uitbarsting palma,Corona,Nederlaag psv,Eu,1928,NL,,,,,,
2021-09-20 03:21:50,2021-09-20 03:30:48,IP Address,100,537,True,2021-09-20 03:30:49,R_3fOfVUkaBVnGDUW,anonymous,EN,1,NS international conductors' strike for higher wages,Mayors push for tougher approach towards organized crime,The Netherlands sent rapid tests to Surinam,People not wearing facemask on public transport,The potential flu epidemic in the winter,The Emmys 2021,The pace of coronavirus vaccination around the world,Kabul under Taliban take over,Chinese military expansion in South China Sea,German upcoming election,3033,EN,,,,,,
2021-09-20 03:17:44,2021-09-20 03:58:35,IP Address,100,2450,True,2021-09-20 03:58:36,R_3IgoTsDwWkSdXmV,anonymous,EN,1,CoronaCheck,COVID related,unemployment,housing shortage,refugees,CoronaCheck,COVID restriction,minister resign,refugees,housing shortage,2577,EN,,,,,,
2021-09-20 04:37:56,2021-09-20 04:39:31,IP Address,100,94,True,2021-09-20 04:39:31,R_2YhPTyPt4XXP9KL,anonymous,NL,1,Wanneer de formatie klaar?,Wanneer de mensen uit Afghanistan terug?,Wat zal de prinsjesdag begroting zijn?,-,-,formatie,Prinsjesdag,afghanistan,-,-,4626,NL,,,,,,
2021-09-20 08:14:54,2021-09-20 08:24:42,IP Address,100,587,True,2021-09-20 08:24:42,R_1ik5MU95Ine1O6R,anonymous,EN,0.89999997615814208984375,Healthcare system,Low salaries for certain jobs,Low diversity in employees,Dutch local authorities are failing to provide enough suitable accommodation for seasonal workers,Corona measures,Many healthcare workers are struggling with their own health due to covid,"A strike by Dutch conductors working on Amsterdam-Brussels trains is being planned ",Primary schools don't longer have to send the whole class home after Covid infection,Dutch employers lag on diversity benefits,Local councils are failing to develop enough seasonal worker housing,1792,EN,,,,,,
2021-09-20 15:00:14,2021-09-20 15:07:54,IP Address,100,459,True,2021-09-20 15:07:54,R_1hKZa4P7qIw8cj0,anonymous,EN,1,"Corona measurements ",New corona cases,"Trust in politics is decreasing ",Arrest abusive babysitters,trail about fraud contaminated manure,Corona measurements,Shooting Russian university,climate crisis,Afghanistan crisis,"shooting German gas station gasstation ",3683,EN,,,,,,
2021-09-20 02:02:51,2021-09-20 02:03:03,IP Address,33,11,False,2021-09-20 23:06:38,R_6kYxv52SAbL6iQN,anonymous,NL,1,,,,,,,,,,,3995,NL,,,,,,
